Headline,Comment
Headline 438,"I think I remember feeling this in my last trimester when I was pregnant with my son, but I'm only in my first trimester this time around. it's like uncomfortable when I walk sometimes i feel like my hoohah is like stretching. or when I stand..."
Headline 439,Fibroids! Who else had one/them? I found out after becoming pregnant that I have one the size of a baseball but never had symptoms. My Dr. says that it will not be an issue for my pregnancy since it’s far up on the uterus. I’m 13 weeks and I’m...
Headline 440,"Hi, Mamas!I'm almost at 12 weeks and want to start documenting the bump soon (it's not here yet but i want to start a little ahead).Any advice for great photos? We're moving in a month so i won't be able to keep the same background the whole..."
Headline 441,My husband painted our master bathroom and I’m worried if it’s okay to smell paint or anything during pregnancy.
Headline 442,Anyone have any recs for a safe bubble bath? Don’t want to take epsom salt baths with no bubbles but heard some bubble bath is unsafe
Headline 443,This was my 12 weeks ultrasound. It’s very hard to tell but any guesses?
Headline 444,"...insanely bloated, gassy, with almost explosive poos that are still solid? TMI for sure, but it's beyond weird. and the bloating is making me look 6 months preggo. do not remember these symptoms with my other two..."
Headline 445,When to stop???
Headline 446,My husband and I have a daughter and I so badly wanted a little girl bc I never had a sister growing up and it was my wish for her however we found out it was a girl and I have this sad guilty feeling that I’ll never give my husband his dream...
Headline 447,I had mild nausea through the first 11 weeks of pregnancy then it all but stopped. I am now 13 weeks and it has returned with a vengeance! Anyone else have this happen to them?
Headline 448,"This is my first girl and I’m at a complete loss of what to name her! I prefer unique names, my two boys are Phoenix and Bellamy. Any ideas??"
Headline 449,"What prenatal vitamins is everyone taking? The ones I have tried so far I can’t even swallow because they are soooo big, and they recommend taking 2 a day. Most of the time I can only choke one down. Is anyone having the same problem or found..."
Headline 450,Okay so my husband is pissed and I don’t know how to feel/respond. My initial reaction is anger but then maybe I’m overreacting? What do you think?So I’m pregnant for the fourth (and sadly) last time. Back when I had my first baby I had this...
Headline 451,Any moms pregnant again? Is there a group for moms who had their baby May 2023 and expecting a 2024 babe?
Headline 452,How many times a day and how much are you giving your 6 month old!?
Headline 453,My mom will be staying with baby for the night. I’m a nervous wreck just thinking about it bc he screams bloody murder if my husband tries to soothe him during the night. I know I’m going to worry the whole time I’m away just wondering if he’s...
Headline 454,Any one else’s LO not sitting up by themselves yet??
Headline 455,"My baby goes to a pediatrician with a delayed vaccine schedule, so we’ve had a check up every month since he was born. He’s gained about a pound each month and my pediatrician always says he is in the 50th percentile for weight, height, and..."
Headline 456,she will be 6 months in a week. totally I terested in food. almost sits up on her own basicly we just started cereal rice cereal but she seems to have big burps after. is this normal?
Headline 457,Anyone else have extremely dry hands since having baby? Probably from the excessive hand washing. Having a baby made me a germaphobe ?? any remedies? I put lotion on frequently but it of course gets washed off just as fast as I...
Headline 458,He’s been rolling on his stomach a lot lately in the night and it’s so nerve wracking. Sometimes I’ll roll him back but he goes back into his position. It’s too much on my just now getting a good night sleep brain because I’m back to waking...
Headline 459,Don't know if she's having a reaction to the food or if it's just new cause she ate food for the first time but non stop poop over here. 5-6 times a day and she even pooped overnight which she has never done. is this normal when starting food...
Headline 460,"What do you do when your babies wake windows are too long for 3 naps, but too short for 2 naps? My LOs last nap is starting to push back bedtime, but I would have to put her to bed at like 6:30 if I cut the last nap. At this point, it's really..."
Headline 461,Idk my son will drink 9oz at like 5am but sometimes he’ll drink again at 10-2pm but sometimes he won’t want to drink until 8pm and I’m worried about it. He’s not losing weight but I worry he’s not getting enough foods
Headline 462,"I know this may seem like an odd question, but what is the difference between the Moro reflex and just a normal startle? My daughters arms no longer flail out to her side and knees don’t come up……but if someone yells she may startle and throw..."
Headline 463,"How much are drop in days at your daycare?How do holidays/vacations work?First time ever that I have to deal with daycare and when I asked about holidays, the director said holidays are paid as part of the tuition and that is how it is with..."
Headline 464,"Good morning! Our almost 6 months old baby has been going to daycare full time since Oct 10, started sleeping through the night on Oct 2nd. Our wake up time has always been around 6:30-7am, but in the past week she started waking up around 5am..."
Headline 465,"Hi mamas, I’m a SAHM but I’m also a military reservist. I have to put my 5 month old in daycare for 4 days next week and I don’t have much of a BM stash so am planning to supplement formula while I work. I’m not sure how much formula to give..."
Headline 466,"Anyone else’s LO experiencing episodes of night terrors? My little guy has been waking up screaming bloody murder the past week or so. We have tried everything and cannot figure out what he’s waking up for. After an episode tonight, we’re both..."
Headline 467,"When I’m holding my son, he is just sitting himself up and just wants to be sitting playing with my hands or a toy. He hardly just stays lounging on me anymore when I want to just relax with him a little. Which is fine! But when I try to sit..."
Headline 468,My little guy is 5.5 months old. He used to be a little chatterbox until about a week ago where he pretty much stopped responding to my husband and I when we try to engage him in conversation. He still babbles and coos alot on his own when he...
Headline 469,"My little one can sit up on her own but has no real interest in rolling over. We do tummy time daily and I try to encourage her with toys, and also help her roll on softer surfaces (bed/couch). But she does not move much on the ground. We have..."
Headline 470,"My daughter has CMPA, but her doctor has recommended that since we have hit the 6 month mark, we should try to transition her back to normal cows milk formula. I am a little nervous about it and read about Goat milk formula… do any of you mommas..."
Headline 471,"Anyone else’s baby not interested in pushing up onto hands during tummy time? He strictly stays on his elbows/forearms, and will extend arms out straight in front of him to play with a toy, but WILL NOT push up on his hands no matter what I..."
Headline 472,Hi ladies. Now that our babies are between 5-6months curious to know how many naps your kids are taking before they actually go down for bed time ??.How many naps and how long is each nap? Thanks.
Headline 473,I’m just so tired of peeing myself!!!! I have a cold right now and every time i cough i pee. Anyone else? ??
Headline 474,My five month old may have hyperhidrosis. His palms and feet are often very cold and clammy. I have hyperhidrosis myself and I got it from my father- and it literally ruins my day to day as an adult. The only solution that worked for me is Botox...
Headline 475,"Has anyone on here gotten Hashimotos after having a baby? I recently got my labs done because I’ve been feeling off. My TSH was low. Now it’s climbing back up, my t4 is low, and my tpo antibodies were 900. My doctor said he’s referring me to..."
Headline 476,"can anyone recommend a mattress for pack and play with a snug fit?baby sleeps in a crib, but we need a backup bed in our bedroom. I've been looking at pack and play but couldn't find a good mattress for it."
Headline 477,"Long story short, we live in a two bedroom condo and there is zero way my 2.5 year old would successfully share a bedroom with my son. But my LO is also a disastrous sleeper, like really, really bad. I feel like I’m starting to hallucinate with..."
Headline 478,Anyone else experiencing their 5 month old wanting the bottle less. He was doing 30 Oz about two weeks ago. He’s now down to 24 Oz on a good day. Nothing has changed still feeding the same way as I was two weeks ago. 4 bottles during the day...
Headline 479,"5/20 baby. Breastfeed. Will go to sleep pretty easily. 7-7:30 bedtime. Wakes up between midnight and 2am and takes 1.5-2 hours to go back to sleep. Feed rock and she will fall asleep on me but as soon as I put her down, she is awake and the..."
Headline 480,My son is 6 months old will be 7 months on the 21st and he is struggling with sippy cups and straw cups. I don’t trust him with an open cup because he loves slinging the sippy and straw cups around. He knows how to hold both sippy and straw...
Headline 481,"Anyone’s baby throw up alot and noticed switching bottles helped? If so, what bottle did you use and which one did you switch too?"
Headline 482,My four month old refuses to breastfeed unless falling asleep or asleep. It’s been going on for over a month. I don’t know what do to get her eat awake again she will go hours and hours refusing it until I feed her when she’s asleep or falling...
Headline 483,My baby on and off will gasp for air and it’s a high pitched noise and the breast bone skin will cave in holds for like 2 seconds and it doesn’t even phase her but I’m scared the dr said it’s laryngomalcia and I have had like 3 different opinions...
Headline 484,"My LO is 6 months next week. Sleeps through the night sometimes waking for one feed and puts herself to sleep for all naps and bedtime.However, ALL of her naps are 35 minutes. She takes 4 35 minute naps a day. We follow wake windows and cues..."
Headline 485,My 5m baby weights 13lbs. She hasnt gained1 full pound since 2 months. But docs arent worried since shes stretching ?? i feel like my milk is no bueno since shes not gaining
Headline 486,"Every time my baby lays down, his right side of the rib kind of sticks out and has a sharp feel to it! Just wondering if this is normal?"
Headline 487,"Hi all, I have noticed this past week or two that I’ve felt moments of “rage”. Last week while heading out the door for work and to the sitter I noticed I was so angry and frustrated and I’m a pretty levelheaded person. I have felt like I have..."
Headline 488,she started coughing continously today. the cough is dry. breathing seems normal. I am freaking out over RSV. Any remedies? I plan to get a humidifier and baby vapor rub. Anything else?
Headline 489,"We have been using cloth diapers throughout the day and this works for us. However we have been using disposable ones at night. I would like to transition to cloth at night as well, but have had issues with leaks at night. Does anyone have recommendations..."
Headline 490,"My first never had a great latch so I EP'd her for 6 months. With this one, I wanted nursing to work so well and it did, until now.She's 4 months old and has been on a nursing strike the last couple of weeks and will only ""snack"" for like 5..."
Headline 491,"My baby has developed a little cough that doesn’t sound like he has phlegm or anything, but it’s pretty constant. Should i be worried?"
Headline 492,"Hi everyone, first time posting in here. My 5 month old is impossible to take out to dinner! I have tried on three different occasions and she screams the entire time and I end up having to take her out to the car. She’s fed, diaper is changed,..."
Headline 493,"Not the best lighting to show this, but yesterday afternoon I noticed that my daughter’s eyelids and slightly under her eye is red. Her actual eyeballs aren’t, just the lids. Does anyone know what this could be? Her 2 bottom front teeth are..."
Headline 494,"My (almost) 5 month old daughter has been refusing the bottle lately. She has been on formula since day 1. She gives the same hunger cues that she always has, and then she’ll eat 2-3 oz before she fights with all her might to not eat. She wants..."
Headline 495,My 5 month old rolls easily from tummy to back and back to tummy. He usually rolls to his tummy when trying to fall asleep it just sometimes takes him awhile to remember he likes it or something so he fusses for a bit before he gets there ??...
Headline 496,What are you getting baby?Also what’s your favorite book baby has? Bonus if it’s not well known.
Headline 497,"I’ve been back to work for 1 month now and when I went back, my baby was drinking 3oz bottles.Fast forward one month later, my freezer stash is all gone bc my mom (who watches my kids) failed to tell me she’s been feeding my baby 5 ounces every..."
Headline 498,"We have done sort of a gentle Ferber where we are very involved with soothing (patting bottom, rubbing back, singing, and picking up if crying). This has allowed us to get some longer stretches of sleep (3-4 hours compared to waking 10-15 times..."
Headline 499,LO will be 6m on 5/9. She wasn’t a great sleeper overnight but she would wake up 1-3 times depending on the night. 4m sleep regression was every hour on the hour for 4 weeks. We finally made it out. The naps got better and overnight sleep went...
Headline 500,Trying to introduce formula to my LO and slowly slowly begin the weening process (going back to school/work).Since introducing the formula we are using he has been having some mucousy spit ups. Could this be a sign of reacting to it? Lots of...
Headline 501,My baby is 4 months old and she was diagnosed with a cow milk protein allergy after having gconsistent diarrhea for 3 weeks straight 8-10 times a day. Stools are very normal now after switching to similac alimentum. Spitting up has never really...
Headline 502,Brushed my hair for a Pony tail… you should see the shower drain…
Headline 503,Anyone know how I can get birth control online for cheap? I don’t have insurance and need some options on where I can get some bc pills.
Headline 504,I’ve noticed a very strange patch of skin on my baby’s forehead. Has anyone ever seen anything like this? It doesn’t feel very bumpy or dry or anything. Feels like the rest of his skin. Also doesn’t have a color. I’ve never seen anything like...
Headline 505,I’m 4 months postpartum and originally I wasn’t going back to work but decided I’ll go back per diem and work one day a week 12 hour *** I’m a NICU RNI started to start pumping at night & in the morning granted I don’t need a huge freeze stash...
Headline 506,Everyone who seees her says she’s a butterball shes ebf and I’m dairy free if I offer both breast she pukes how ever now I’m scared about her weight gain
Headline 507,"Anyone else’s baby doing this?11 weeks old, giving us 6-8 hour stretches of uninterrupted sleep overnight (??????) but doesn’t pee during that time? EBF eating every 2 hours during the day, gaining weight..."
Headline 508,Let’s talk about it here..this is how I am feeling .. kind of just feeling tapped out and touched out being the one who constantly has to comfort and feed. I don’t want to be nursing to sleep forever either. I’m also going back to work November...
Headline 509,When should my baby be able to nap independently? she's mostly handling night sleep well. I do nurse her to sleep but she's mostly easy to transfer to the crib and sleeps 6-10 hour stretches. This is not the case with naps. She wants to be held...
Headline 510,"I’m at a loss, I’m definitely an overproducer and while im very blessed to be making more than enough for my baby I can’t store anymore milk. My freezer chest is full and im currently starting to take over my regular freezer from my fridge as..."
Headline 511,Hey mamas with more experience than me. When do you usually stop Tylenol for a fever for infant? What temp is it okay to stop it? TIA ❤️
Headline 512,My daughter just turned 4 months old. She had been sleeping from 8pm to 7 am for a while and this seemed like her normal routine. All of a sudden for the past 2 weeks she is waking up at random hours of the night. She is also eating less. She...
Headline 513,"If baby is sleeping through the night, do I still need to wake up to pump?"
Headline 514,Anyone else have a c-section baby that seems angry more often than happy?
Headline 515,"I am a first time mom, my little is exclusively breastfeeding and I'm on the minipill for birth control. I thought I was getting my first period three days ago, but today nothing and it was extremely light, bright pinkish/red. Does this sound..."
Headline 516,I EBF and always stress about her weight. She was born at 7 pounds. 11 pounds 13 oz at 2 months and 13 pounds 13 oz today at 4 months. Dropped from 52 percentile to 44 in weight. My pediatrician said it’s normal and isn’t concerned at all but...
Headline 517,"So, I’ve been given a generous (for the US) 6 month maternity leave that is up early November. I’ve been internally panicking at the idea of leaving my clingy baby who nurses constantly to go back to work for twelve hour shifts. I finally broke..."
Headline 518,"we are on the second night of this.  it's not even 1am, and he's been up 3 times.  he used to be my 9-5 sleeper and since he got sick at daycare his first week there, sleep has been crap ever since.  anyone else go through this lately or have..."
Headline 519,I have line eyes always. Indent line or is this looking faint positive??
Headline 520,"I suspect my 16 week old is teething. He’s been drooling a ton, eating his hands, I feel teeth under his swollen gums, having diarrhea in the mornings, etc… My concern is that over the past few days he’s not been eating nearly the same as he..."
Headline 521,Anyone else dealing with reoccurring mastitis still? I can usually tell when I've got a clogged duct pretty quick and do all the things to get rid of it but last week (the night before a family trip) it came on so suddenly. Felt the pain around...
Headline 522,He has max 3 diarreah diaper a day. No other symptoms. Peeing enough and breastfeeding fine. But it been like a week and a half. Still having diarrhea. Doctor said not to do anything and just keep nursing him. But idk. I feel like it’s been...
Headline 523,"My boy has decided he doesn’t believe in time. He was born 4 weeks early, rolled at 5 weeks old, and now at 16 weeks his first tooth just cut the surface.I need all the tips and tricks that have worked for you to help baby through this painful..."
Headline 524,"My son just turned 4 months old on Sept. 2nd. He starting to do this thing where if I put him down, he screams, not cries, screams to be picked up and held. I’m not sure if I should even pick him up right away when he does this because I don’t..."
Headline 525,I swear this fall weather creeping in is giving me horrible flashbacks to how sick I was in the first trimester. The feeling of the air and even the way the sunlight is coming in makes me feel nauseous. Anyone else going through this?
Headline 526,So we waited till now to have sex in hope it would not be so bad… 4 months after all. It was awful!! I felt like a virgin and didn’t come ( sorry for too much info). I just started crying at the end because it was such an important part of our...
Headline 527,I wish for a completely different life for me and my kids. I wish that one day I will wake up and be in a better place. I wish I could wake up and not have any worries. I wish I could wake up and have a close tight knit family & friends. I wish...
Headline 528,"This has been going on since August 11, I am getting so frustrated and upset. LO will be 4 months next Sunday, she is EBF and she doesn't take a bottle. I am honestly worried for her, I don't think she is eating enough. Some days have been better..."
Headline 529,my baby just started doing this today and i’m not sure if it’s normal lol. he doesn’t seem to be in pain but pediatrician said it was ok if we start giving him solids. we gave him a tiny bit of banana but he didn’t like it. he has pooped a bit...
Headline 530,"Is anyone else experiencing this? Before I was pregnant, my sex drive was minimum, I do take medicine for OCD and anxiety so I always felt like that was why. During pregnancy it was at a zero. All of a sudden I feel like I don’t want to keep..."
Headline 531,When are you moving baby to another room? are you waiting until they sleep through the night?
Headline 532,"My 4 month old baby had seizure, and we don’t know the reason after 1 day with CT scan and EEG. She has MRI today and we are waiting for the results!Please keep us in your prayers!! And if you had a positive experience please share with us!!I’m..."
Headline 533,Anyone else have a hard time just taking the plunge and sizing up your baby's clothes? We were blessed with an entire wardrobe for our baby for the first year of life. used and new clothes. we have so many that he has outgrown some without being...
Headline 534,"My daughter will be four months next week and for the last week it has been extremely hard to put her down. Before whenever she got fussy, we would put her down and she would usually go to sleep or sometimes we would have to come and pat her..."
Headline 535,My son sleeps great at night in the crib and does take solid naps during the day- but it either has to be contact or in his swing for them to be 1-2 + hours. If I put him in his crib he only sleeps maybe 35 minutes. Is this happening to anybody...
Headline 536,Baby boy will be 4 months on the 27th but I feel like he’s behind from the things I’m reading here he’s not grabbing toys and keeping them in his hands he used to roll stomach to back but for some reason stopped doesn’t roll back to stomach...
Headline 537,"Can I please hear your experience with your baby’s tongue/lip tie? Any advice, warnings, tips, etcThank you!!"
Headline 538,"I would really like to know what everyone thinks of this comment from my MIL. Honestly, it’s really got under my skin and made me feel bad.My MIL phoned me this morning and told me if we didn’t visit more often, my baby wouldn’t know who his..."
Headline 539,Does anyone have any hair clip recommendations for keeping hair back during the day and doesn’t cause additional hair loss??I’m using hair ties now but I know that pulls your hair. And I’d love to not contribute to my own postpartum hair loss!TIA!!
Headline 540,"Anyone have suggestions for a working gal who needs a computer bag but also has a diaper bag to lug around? The diaper bag is a nice size for the baby’s necessities, but it isn’t big enough to add in a full laptop, charger, notebook, writing..."
Headline 541,My LO Iis more clingy and fussy during the day. I’m thinking it’s the sleep regression. I was wondering if any other mamas were experiencing the same thing?
Headline 542,Does anyone know how Bubs Organic formula is on baby’s tummies? I might need to start supplementing with formula soon. She hasn’t had formula since she was a week old and I needed to supplement while my milk came in and Similac seemed to make...
Headline 543,Ever since I started back to work last week I've noticed a drop in my milk supply ?? any tips to get it back up? I pump twice a day at work but it just doesn't seem like it's enough.My boss already gave me a hard time when I told...
Headline 544,"anyone have any experience with this? which brands do they carry? are they well stocked? alternatively, does anyone have any other recommendations on how to get formula? I'm flying from Canada and plan to take a shuttle from the airport."
Headline 545,"How many naps is your LO taking now that were going on month 4? We’re currently in an awkward phase where taking a 5th nap is pushing bedtime back, but also if we don’t do a 5th nap, the wake window ends up being about 2.5 hours so we can get..."
Headline 546,"Has anyone used BabyQuip for vacation rental equipment before? Heading across country for a trip in a few weeks. The Airbnb we are staying at doesn’t have a crib. I could buy a guava lotus travel crib, but thinking about doing the rental thing..."
Headline 547,"My LO is going to be 4m on the 19th. I know it’s a lot of going on with her lil world rn. She has been developing new skills amazingly. I would say, she also sleeps fairly well tho I notice there is slight regression from 8ish hours to 5ish..."
Headline 548,Really just need to vent. My son has been in this regression for probably two weeks and some nights are better than others. Last night was the first time that he just did NOT go down in his crib and I had to hold him all night. My husband is...
Headline 549,Anyone need Enfamil checks? We recently had to switch to Similac. If anyone could use them I’d be happy to mail them to you. Just email me (eameadows9@gmail.com) with your address and I’d be happy to mail them to you!
Headline 550,My little one is at the age of distraction ?? but he has also become much more efficient at feeding (I hope?)I know all LO’s are different but hoping to get a general idea of how long you’re are breastfeeding for during each feed?!(My...
Headline 551,Please can I take melatonin for toddlers while pregnantt. I can’t survive another night without sleeping. My head is about to burst.
Headline 552,"Happy week 24 all my fellow mamas, especially mamas after loss.Little milestones have been helping me get through this, this is a big one ✨??"
Headline 553,I got my first Brazilian wax over a month ago & it was super painful I legit cried. I want to go again but Im so scared. Does it hurt less the second time ? I know the first time you get waxed when pregnant hurts 10x more bc of how sensitive...
Headline 554,"I’m 21+5 days today and i’m having a lot of tailbone pain. I’ve been sitting down a lot today, but it’s to the point where it hurts so sit straight now, I have to kinda lean over on my side.Anyone else experiencing this?"
Headline 555,....of course I got it from him...feeling terrible...
Headline 556,"We decided on a list of boy and girl names when we were having our first (baby girl). When we found out we were having a boy this time, we knew immediately what his name would be - it’s one I’ve been excited for since before I even had a partner.We..."
Headline 557,"We are having a hard time picking out a name for our baby girl, we have 3 boys already and choosing a name for a girl has been hard because I like so many and only get one chance at it ?? What are y’all’s thoughts on these 4 names:IslaAvonleaElsieEverly"
Headline 558,"Nanit is on the registry! Absolutely love it. What accessories (swaddles, breathing bands, measuring sheet) are most worth it?"
Headline 559,We’ll be visiting some friends in a few weeks who just got a new hot tub. My partner seems to think it’s ok to go in for 10 minutes or so. I’ll be 30 weeks when we’re there. Any thoughts on going in? I’m hesitant but 10 minutes doesn’t sound...
Headline 560,"We aren’t finding out if we’re having a boy or a girl, and I can’t stop thinking about what happened at my 20 week ultrasound a few weeks ago. First, the ultrasound tech asked us to look away and then almost immediately said “she”. Then she..."
Headline 561,"I am a teacher.. and am 24 weeks pregnant. Very soon, they will be doing major renovations at my school.  This week, several ceiling tiles in the classroom need to be replaced or boarded up, as some are about to fall.. Also, they will be installing..."
Headline 562,Hi all! Please help me figure this out. Thinking between these 3 names for baby boy.??????1) Roman2) Teddy (Theodore)3) EmeryOriginally wanted an “M” name but couldn’t find one that resonated with me!Thanks!!!...
Headline 563,"I lost a baby at 5 months pregnant nov 2021. I hadn’t announced that pregnancy on social media yet and only close friends and family knew. So I didn’t have to share the loss, which was convenient. I’m wanting to invite extended friends to a..."
Headline 564,"My first’s middle name is after a family member, so her middle name is “June” (was born in November).Would it be weird to give my second the middle name of “May” because she’ll be born in May?"
Headline 565,Is anyone else all of a sudden just really clumsy? Not even knocking into things or losing my balance because my shape is changing like i like knocking things over while I’m sitting or dropping things!
Headline 566,25 weeks pregnant and threw my back out this morning while getting clothes out of the dryer. Anyone else done this while pregnant? I need some tips ??
Headline 567,I’m having my gender reveal Saturday so excited can’t wait to find out!
Headline 568,Mine was 5.30am this morning.
Headline 569,I’m not sure what the point of this is other than a vent. I feel like i see pregnant people all around me looking so cute in their clothes and bumps and i feel like i look huge and i cant look nice and i dont wanna spend so much on new clothes...
Headline 570,So many options! So overwhelming… are you getting a separate stroller aside from the infant car seat or doing one that just locks into the stroller?
Headline 571,"I am 23w3d and my ribs are killing me. Sleeping is becoming so 😖....I can sleep, but I am always turning cause I get sore very fast. End up waking up at around 3 or 4 am every day just to stretch so that I can breath a little better and relieve..."
Headline 572,I’m 22 weeks today and I swear baby just had the hiccups. I was laying in bed and these littleRhythmic bumps just like hiccups.Anybody else experienced this yet? I know they get the hiccups later stages but this is the first time I’ve recognised...
Headline 573,"My friend has a Graco dual sooth swing. She has loved it for both for kids, but I’m also considering the simple swing which is less expensive. I kind of really want to get the baby Bjorn bliss bouncer and if I do, I would prefer to get a less..."
Headline 574,I woke up and went to bath room then start having a very sharp pain on the right side of my stomach near my belly button. Something it feels like it’s going through my vagina. It’s a constant pain almost making me want to cry. Has this happened...
Headline 575,"Hi! FTM here. Due to health concerns, there’s a good chance I’ll need a scheduled induction. I was hoping for a natural labor but heard induced labor can be very painful. Any moms out there that did it? Advice?Also curious if a schedule csection..."
Headline 576,I have a 2014 VW Tiguan and we will be having our 3rd baby in May. Originally we were going to get a van but now we are hoping to keep our car for awhile longer to save on money. Does anyone have experience with 3 car seats across in a smaller...
Headline 577,What is the BEST breast pump for moms on the go that want to get back to work as soon as possible? Why?
Headline 578,Hi ladies -I’ve been struggling really hard during pregnancy. This is my first but the weight gain has been increasing like crazy. Before I was pregnant I was usually around 155-160. I’m 23 weeks now and I’m at 192. Basically 30 pounds already....
Headline 579,I’m so indecisive ! I have a son named Colton James and I always thought I’d find it easy to pick a girls name but now that it’s time to pick one I can’t decide.We are torn between Lexi Paige or Delaney Grace.Vote please!
Headline 580,https://www.amazon.com/baby-reg/shenatta-joseph-may-2023-westhaven/1G8U1J33EIKPYFigured I would post my registry if anyone would like to purchase that would be very much appreciated. I don’t have much friends or family so this community makes...
Headline 581,Ok so I had all day morning sickness and major issues with food ???? for 4 1/2 months I had a month of no morning sickness and feeling good. Woke up 2 days ago with morning sickness all day again. Still have it and...
Headline 582,Just feeling so grateful and blessed to make it to this this point. I felt like pregnancy went soooo fast and then slowed down right at 21 weeks. I could’ve swore I was 22 weeks pregnant for a month ?? This is the only milestone...
Headline 583,Is anyone else far along into their pregnancy and still won’t show ? I’ll be 7 months pregnant next Wednesday and I do not have a bump .. I’m trying to take maternity photos and have my baby shower early due to the possibility of being induced...
Headline 584,Day 3 of c-vid and “luckily” I think I have it “milder” but this cough is horrendous and unrelenting. Poor baby. Everytime I cough my lower abdomen and ovary areas feel like they’re so sore and breaking in half.Anyone else???Any remedies? Ob...
Headline 585,I’m team green which mean I still don’t know the gender of baby yet but if it’s a girl I want her name to start with AN and if a boy to start with R. Can anyone list some names for both genders below lol not the ones you’re choosing but the...
Headline 586,"I cannot breathe!!! My pharmacist gave me saline spray which does absolutely nothing, so in order to not suffocate, I’ve been using regular nose spray before bed this week. Has anyone else used nose spray or have safer remedies?"
Headline 587,??‍????‍????‍??
Headline 588,Has anyone got long lines like this forming on their belly? They don’t look like normal stretch marks but are they?It kind of looks like my linea nigra but going the wrong way
Headline 589,Anyone else pee a little EVERYTIME you sneeze? I’ve been wearing liners and trying to strengthen my pelvic floor. Will this go away after delivery?? It was definitely not this bad with my first ??
Headline 590,"Hello!!! FTM here, I am wondering if anyone has purchased a nursery set from DeltaChildren.com? It seems to be the best deal for the money but I'm just curious if anyone has bought one. I am very skeptical of buying a complete nursery online..."
Headline 591,Our house should be done mid March with baby due May 6th. We picked out our lot over a year ago so this has been a long process. Living in a teeny apartment with our two year old since selling our last house last May. House was originally supposed...
Headline 592,What does lightning crotch feel like to you? I’m a FTM and wondering if this is what I’m feeling right now. I stood up fast and felt a stabbing pain inside my area lol. Lasted a few seconds but I’m only 21 weeks so I’m curious
Headline 593,Im almost 26 weeks and noticed I am producing milk already. My husband and I were making love and he might of given my breasts some love. Can that stimulate pre-term labor?
Headline 594,I always see a stereotype of pregnant women sitting on exercise balls! Is there a reason behind this and should I invest in one?Also I have an office job so I’m sitting most of the day- did anyone get a new chair or foot rest to help?
Headline 595,"22 weeks and I really feel like when I look at my stomach or feel around that most of the time it feels/ looks like he is favoring my right side. Not necessarily his movements, but it feels like it’s more dense on my right side. Is this normal?"
Headline 596,"We're having a girl, and now going through the struggle of agreeing on a middle name🙃 The only one that we both really like is Mae, and I don't know if it's too weird to be the same as the birth month😅😅Other middle names we liked (but not..."
Headline 597,"I'm at 21 weeks and the last several weeks my baby has been pretty active, kicking and spinning like crazy when I'm sitting or laying down, but tonight she's been less active than normal. She was active this morning so I'm no too worried, just..."
Headline 598,What is everyone’s thoughts on naming your baby something extremely popular and currently common? I love the name Luca and almost named my first son that but had a hard time getting over how popular it is. But now pregnant with my second boy...
Headline 599,Just entered 23 weeks and i am so over being pregnant ?? FTM…And pregnancy been so stressful Cuz I over think everything! And always wondering if the baby is fine..alive..ok???? Don’t get me started...
Headline 600,Hey everyone. Please send any middle name recommendations you have. We were originally thinking Finley Gray Avila however we’re still very open to other ideas. feel free to comment any suggestions! Thank you!
Headline 601,Saw our little one at a 10-week ultrasound today. I know it’s way too early but tech said she would be shocked if it’s not a little boy. Second pic is the shot between his legs
Headline 602,"This is my first pregnancy and I'm trying to stay optimistic, but we've had lots of uncertainty so far.My LMP was 8/14, 30 day cycles and ovulate around cd 19 or 20. Got a positive test on 9/13.Went in for first scan on 9/29 at ~6 weeks and..."
Headline 603,I am currently pregnant with my 3rd child (the others are 15 and 9 1/2) I ate subway with them and they came out perfect. I am craving a fully dressed ham sandwich and do not like my sandwiches warm. I have recently heard pregnant women should...
Headline 604,Has anyone done an at home gender test yet? If so which brand did you use and how early did you test?
Headline 605,I have a 6 yr old and 2 yr old. I feel like it’s impossible to do basic every day things. Caring for them feels so difficult even though it’s easy tasks. I have an aversion to everything. The thought of driving my son to school makes me anxious...
Headline 606,My left side is killliinngggg me! Anyone experience this?
Headline 607,"I am sort of hoping that there are other women going through the same sort of emotional turmoil…. My nausea is unbelievable, headaches and bloating just as bad, I feel like I should be wearing comfy, baggy clothes while being wrapped up in a..."
Headline 608,"I’m 8+4 today and I’m feeling almost normal. Except for some fatigue, I’m feeling pretty good. US at 7 weeks was great. Had some morning sickness at 6-7 weeks but has all but gone away. Feeling concerned. Anyone else experience this?"
Headline 609,"I'm 10w6d today and have an appointment with my OB today. If I remember correctly from last pregnancy they try the doppler but with a caveat of ""we may not be able to hear anything yet."" What happens if they can't hear it? My appointment is..."
Headline 610,"First time mom, 12 weeks, my bump has arrived and my pants no longer button and my bloating is at a max! Sitting has been so uncomfortable! Anyone else feeling that way?"
Headline 611,Anyone else waking up starving in the middle of the night? I wake up around 4am daily so hungry my stomach is growling. I hate it. I would rather be sleeping ??
Headline 612,"Anyone else?! Haha now before you say I’m lucky, I’m 11 weeks and went through severe food aversions since 5 weeks. But now I’m finding as long as it is salty or has salt in it, I can usually eat it? ?? I know I need to watch my..."
Headline 613,Had an ultrasound today at 10 weeks 6 days. Was wondering what you can tell me about it based on the Ramzi Theory? I can't tell what I am looking at. TIA!
Headline 614,"I tried looking it up and I don’t get it, this was abdominal if that helps!?"
